sku,titulo,descripcion,descripcion_larga,costo_transporte,descartador,imagen_url,categorias
1,5 fardos de ropa vieja,Se descarta retiro en zona sur,3000,,Juan,/static/fotos/fardo.png,textil|ropa|reutilizable
3,Lote de maderas usadas,Incluye tablones y restos de muebles,2000,,Carlos,/static/fotos/madera.png,madera|mueble|reutilizable
4,Bicicleta sin ruedas,Estructura sólida para reconstrucción,1500,,Andrea,/static/fotos/bici.png,metal|transporte|reparable
5,Computador antiguo,No enciende pero tiene componentes aprovechables,2500,,Ignacio,/static/fotos/computador.png,electrónico|reutilizable|reciclable
6,Ventanas de aluminio usadas,De casa en demolición,3000,,Sofía,/static/fotos/ventana de aluminio.png,metal|construcción|reutilizable
7,Tv plasma con pantalla trizada,Se puede rescatar electrónica interna,4000,,Rodrigo,/static/fotos/tv.png,electrónico|reparable|reciclable
8,Sillas de comedor rotas,Para restaurar o usar partes,1000,,Lucía,/static/fotos/silla.png,madera|mueble|reparable
9,Lavadora sin motor,Carcasa y tambor en buen estado,3500,,Tomás,/static/fotos/lavadora.png,electrodoméstico|metal|reutilizable
010,casa,casa,,2000,Revamper,0713a34d5c7140789fc12599ca1d9bba_D_NQ_NP_2X_631692-MLC77810981708_072024-F.jpg,
34d51c7f,PC Vintage para Reciclar,computador viejo con daño por agua notebook,"Laptop MacBook Air (aprox. 30x21x1 cm). Componentes internos (SSD, RAM) con potencial de reutilización o actualización. Carcasa de aluminio reciclable. Priorizar la reparación y/o reutilización del equipo completo o por partes.",1000,Revamper,6c87c409-e82a-4aee-948d-44db39373586_D_NQ_NP_2X_614885-MLA49588273946_042022-F.jpg,"Computadores, Electrónicos, Chatarra"
b8a72c56,PC Vintage para Reciclar,computador viejo con daño por agua notebook,"Laptop MacBook Air (aprox. 30x21x1 cm). Componentes internos (SSD, RAM) con potencial de reutilización o actualización. Carcasa de aluminio reciclable. Priorizar la reparación y/o reutilización del equipo completo o por partes.",1000,Revamper,8bc83a74-c79f-4aaf-ac3b-0a2ca53ca367_D_NQ_NP_2X_614885-MLA49588273946_042022-F.jpg,"Computadores, Electrónicos, Chatarra"
a55f9c1d,Latas Bebida Para Reciclar,latas de bebida,"Nota: La imagen muestra un ordenador portátil, no latas de bebida.

Portátil (MacBook Air) con dimensiones aproximadas de 30cm x 21cm. Componentes metálicos (aluminio) y plásticos reciclables, así como circuitos electrónicos que requieren procesos de reciclaje especializados. Priorizar la reparación y la reutilización del dispositivo completo o de sus componentes (pantalla, teclado, batería) antes del reciclaje.",1000,Revamper,60ae61ab-fd84-4afd-9112-af4f6a9c0cf5_D_NQ_NP_2X_614885-MLA49588273946_042022-F.jpg,"Aluminio, Metales, Reciclables"
